path,timepoint_hr,capture_time,shot_order,gap_s,v_sticker,v_coating,v_sample,v_magnet,v_magnet_size,v_conf,v_notes,date,idx,coating,sample,arm,series
4 hrs/PXL_20260823_191644137.jpg,4.0,2026-08-23 19:16:44.137,6,40.997,0.4 NO BSA COOH L2,COOH,L2,present,large,high,rotated 90deg on sticker crop,2026-08-23,131,COOH,L2,large,COOH_L2
4 hrs/PXL_20260823_191724851.jpg,4.0,2026-08-23 19:17:24.851,7,40.714,0.4 NO BSA COOH S1,COOH,S1,present,small,high,rotated 90deg on sticker crop,2026-08-23,132,COOH,S1,small,COOH_S1
4 hrs/PXL_20260823_191809378.jpg,4.0,2026-08-23 19:18:09.378,8,44.527,0.4 NO BSA COOH S2,COOH,S2,present,small,high,rotated 90deg on sticker crop,2026-08-23,133,COOH,S2,small,COOH_S2
4 hrs/PXL_20260825_223414743.jpg,4.0,2026-08-25 22:34:14.743,9,184565.365,0.4 NO BSA PEG L3,PEG,L3,present,large,high,,2026-08-25,134,PEG,L3,large,PEG_L3
4 hrs/PXL_20260825_223530021.jpg,4.0,2026-08-25 22:35:30.021,10,75.278,0.4 NO BSA PEG S3,PEG,S3,present,small,high,,2026-08-25,135,PEG,S3,small,PEG_S3
4 hrs/PXL_20260825_223630923.jpg,4.0,2026-08-25 22:36:30.923,11,60.902,0.4 NO BSA COOH L3,COOH,L3,present,large,high,,2026-08-25,136,COOH,L3,large,COOH_L3
4 hrs/PXL_20260825_223731635.jpg,4.0,2026-08-25 22:37:31.635,12,60.712,0.4 NO BSA COOH S3,COOH,S3,present,small,high,,2026-08-25,137,COOH,S3,small,COOH_S3
4 hrs/PXL_20260825_223834124.jpg,4.0,2026-08-25 22:38:34.124,13,62.489,0.4 Control NO BSA PEG,PEG,control,none,,high,,2026-08-25,138,PEG,control,control,PEG_control
4 hrs/PXL_20260825_224022794.jpg,4.0,2026-08-25 22:40:22.794,14,108.67,0.4 Control NO BSA COOH,COOH,control,none,,high,,2026-08-25,139,COOH,control,control,COOH_control
4.5 hrs /PXL_20260823_194330941.jpg,4.5,2026-08-23 19:43:30.941,1,,0.4 NO BSA PEG L1,PEG,L1,present,large,high,rotated 90deg on sticker crop,2026-08-23,140,PEG,L1,large,PEG_L1
4.5 hrs /PXL_20260823_194401935.jpg,4.5,2026-08-23 19:44:01.935,2,30.994,0.4 NO BSA PEG L2,PEG,L2,present,large,high,rotated 90deg on sticker crop,2026-08-23,141,PEG,L2,large,PEG_L2
4.5 hrs /PXL_20260823_194449573.jpg,4.5,2026-08-23 19:44:49.573,3,47.638,0.4 NO BSA PEG S1,PEG,S1,present,small,high,rotated 90deg on sticker crop,2026-08-23,142,PEG,S1,small,PEG_S1
4.5 hrs /PXL_20260823_194526797.jpg,4.5,2026-08-23 19:45:26.797,4,37.224,0.4 NO BSA PEG S2,PEG,S2,present,small,high,rotated 90deg on sticker crop,2026-08-23,143,PEG,S2,small,PEG_S2
4.5 hrs /PXL_20260823_194626347.jpg,4.5,2026-08-23 19:46:26.347,5,59.55,0.4 NO BSA COOH L1,COOH,L1,present,large,high,rotated 90deg on sticker crop,2026-08-23,144,COOH,L1,large,COOH_L1
4.5 hrs /PXL_20260823_194714124.jpg,4.5,2026-08-23 19:47:14.124,6,47.777,0.4 NO BSA COOH L2,COOH,L2,present,large,high,rotated 90deg on sticker crop,2026-08-23,145,COOH,L2,large,COOH_L2
4.5 hrs /PXL_20260823_194821127.jpg,4.5,2026-08-23 19:48:21.127,7,67.003,0.4 NO BSA COOH S1,COOH,S1,present,small,high,rotated 90deg on sticker crop,2026-08-23,146,COOH,S1,small,COOH_S1
4.5 hrs /PXL_20260823_194857068.jpg,4.5,2026-08-23 19:48:57.068,8,35.941,0.4 NO BSA COOH S2,COOH,S2,present,small,high,rotated 90deg on sticker crop,2026-08-23,147,COOH,S2,small,COOH_S2
4.5 hrs /PXL_20260825_230402647.jpg,4.5,2026-08-25 23:04:02.647,9,184505.579,0.4 NO BSA PEG L3,PEG,L3,present,large,high,,2026-08-25,148,PEG,L3,large,PEG_L3
4.5 hrs /PXL_20260825_230526729.jpg,4.5,2026-08-25 23:05:26.729,10,84.082,0.4 NO BSA PEG S3,PEG,S3,present,small,high,,2026-08-25,149,PEG,S3,small,PEG_S3
4.5 hrs /PXL_20260825_230623543.jpg,4.5,2026-08-25 23:06:23.543,11,56.814,0.4 NO BSA COOH L3,COOH,L3,present,large,high,,2026-08-25,150,COOH,L3,large,COOH_L3
4.5 hrs /PXL_20260825_230725193.jpg,4.5,2026-08-25 23:07:25.193,12,61.65,0.4 NO BSA COOH S3,COOH,S3,present,small,high,,2026-08-25,151,COOH,S3,small,COOH_S3
4.5 hrs /PXL_20260825_230826628.jpg,4.5,2026-08-25 23:08:26.628,13,61.435,0.4 Control NO BSA PEG,PEG,control,none,,high,,2026-08-25,152,PEG,control,control,PEG_control
4.5 hrs /PXL_20260825_230942641.jpg,4.5,2026-08-25 23:09:42.641,14,76.013,0.4 Control NO BSA COOH,COOH,control,none,,high,,2026-08-25,153,COOH,control,control,COOH_control
5 hrs/PXL_20260823_201208958.jpg,5.0,2026-08-23 20:12:08.958,1,,0.4 NO BSA PEG L1,PEG,L1,present,large,high,rotated 90deg on sticker crop,2026-08-23,154,PEG,L1,large,PEG_L1
5 hrs/PXL_20260823_201245183.jpg,5.0,2026-08-23 20:12:45.183,2,36.225,0.4 NO BSA PEG L2,PEG,L2,present,large,high,rotated 90deg on sticker crop,2026-08-23,155,PEG,L2,large,PEG_L2
5 hrs/PXL_20260823_201345739.jpg,5.0,2026-08-23 20:13:45.739,3,60.556,0.4 NO BSA PEG S1,PEG,S1,present,small,high,rotated 90deg on sticker crop,2026-08-23,156,PEG,S1,small,PEG_S1
5 hrs/PXL_20260823_201454726.jpg,5.0,2026-08-23 20:14:54.726,4,68.987,0.4 NO BSA PEG S2,PEG,S2,present,small,high,rotated 90deg on sticker crop,2026-08-23,157,PEG,S2,small,PEG_S2
5 hrs/PXL_20260823_201541954.jpg,5.0,2026-08-23 20:15:41.954,5,47.228,0.4 NO BSA COOH L1,COOH,L1,present,large,high,rotated 90deg on sticker crop,2026-08-23,158,COOH,L1,large,COOH_L1
5 hrs/PXL_20260823_201621378.jpg,5.0,2026-08-23 20:16:21.378,6,39.424,0.4 NO BSA COOH L2,COOH,L2,present,large,high,rotated 90deg on sticker crop,2026-08-23,159,COOH,L2,large,COOH_L2
5 hrs/PXL_20260823_201720651.jpg,5.0,2026-08-23 20:17:20.651,7,59.273,0.4 NO BSA COOH S1,COOH,S1,present,small,high,,2026-08-23,160,COOH,S1,small,COOH_S1
5 hrs/PXL_20260823_201818171.jpg,5.0,2026-08-23 20:18:18.171,8,57.52,0.4 NO BSA COOH S1,COOH,S1,present,small,high,duplicate close-up photo of same sample as 0160,2026-08-23,161,COOH,S2,small,COOH_S2
5 hrs/PXL_20260825_233057391.jpg,5.0,2026-08-25 23:30:57.391,9,184359.22,0.4 NO BSA PEG L3,PEG,L3,present,large,high,,2026-08-25,162,PEG,L3,large,PEG_L3
5 hrs/PXL_20260825_233148894.jpg,5.0,2026-08-25 23:31:48.894,10,51.503,0.4 NO BSA COOH L3,COOH,L3,present,large,high,,2026-08-25,163,COOH,L3,large,COOH_L3
5 hrs/PXL_20260825_233301938.jpg,5.0,2026-08-25 23:33:01.938,11,73.044,0.4 NO BSA COOH S3,COOH,S3,present,small,high,,2026-08-25,164,COOH,S3,small,COOH_S3
5 hrs/PXL_20260825_233411028.jpg,5.0,2026-08-25 23:34:11.028,12,69.09,0.4 Control NO BSA PEG,PEG,control,none,,high,,2026-08-25,165,PEG,control,control,PEG_control
5 hrs/PXL_20260825_233505708.jpg,5.0,2026-08-25 23:35:05.708,13,54.68,0.4 Control NO BSA COOH,COOH,control,none,,high,,2026-08-25,166,COOH,control,control,COOH_control
5 hrs/PXL_20260825_233941678.jpg,5.0,2026-08-25 23:39:41.678,14,275.97,0.4 NO BSA PEG S3,PEG,S3,present,small,high,,2026-08-25,167,PEG,S3,small,PEG_S3
5.5 hrs/PXL_20260823_204302359.jpg,5.5,2026-08-23 20:43:02.359,1,,0.4 NO BSA PEG L1,PEG,L1,present,large,high,,2026-08-23,168,PEG,L1,large,PEG_L1
5.5 hrs/PXL_20260823_204341105.jpg,5.5,2026-08-23 20:43:41.105,2,38.746,0.4 NO BSA PEG L2,PEG,L2,present,large,high,,2026-08-23,169,PEG,L2,large,PEG_L2
5.5 hrs/PXL_20260823_204427978.jpg,5.5,2026-08-23 20:44:27.978,3,46.873,0.4 NO BSA PEG S1,PEG,S1,present,small,high,,2026-08-23,170,PEG,S1,small,PEG_S1
5.5 hrs/PXL_20260823_204520988.jpg,5.5,2026-08-23 20:45:20.988,4,53.01,0.4 NO BSA PEG S2,PEG,S2,present,small,high,,2026-08-23,171,PEG,S2,small,PEG_S2
5.5 hrs/PXL_20260823_204607136.jpg,5.5,2026-08-23 20:46:07.136,5,46.148,0.4 NO BSA COOH L1,COOH,L1,present,large,high,,2026-08-23,172,COOH,L1,large,COOH_L1
5.5 hrs/PXL_20260823_204643680.jpg,5.5,2026-08-23 20:46:43.680,6,36.544,0.4 NO BSA COOH L2,COOH,L2,present,large,high,,2026-08-23,173,COOH,L2,large,COOH_L2
5.5 hrs/PXL_20260823_204723794.jpg,5.5,2026-08-23 20:47:23.794,7,40.114,0.4 NO BSA COOH S1,COOH,S1,present,small,high,,2026-08-23,174,COOH,S1,small,COOH_S1
5.5 hrs/PXL_20260823_204836846.jpg,5.5,2026-08-23 20:48:36.846,8,73.052,0.4 NO BSA COOH S2,COOH,S2,present,small,high,duplicate close-up photo,2026-08-23,175,COOH,S2,small,COOH_S2
5.5 hrs/PXL_20260826_000422112.jpg,5.5,2026-08-26 00:04:22.112,9,184545.266,0.4 NO BSA PEG L3,PEG,L3,present,large,high,,2026-08-26,176,PEG,L3,large,PEG_L3
5.5 hrs/PXL_20260826_000531554.jpg,5.5,2026-08-26 00:05:31.554,10,69.442,0.4 NO BSA COOH L3,COOH,L3,present,large,high,,2026-08-26,177,COOH,L3,large,COOH_L3
5.5 hrs/PXL_20260826_000612985.jpg,5.5,2026-08-26 00:06:12.985,11,41.431,0.4 NO BSA COOH S3,COOH,S3,present,small,high,,2026-08-26,178,COOH,S3,small,COOH_S3
5.5 hrs/PXL_20260826_000718562.jpg,5.5,2026-08-26 00:07:18.562,12,65.577,0.4 NO BSA PEG S3,PEG,S3,present,small,high,,2026-08-26,179,PEG,S3,small,PEG_S3
5.5 hrs/PXL_20260826_000906602.jpg,5.5,2026-08-26 00:09:06.602,13,108.04,0.4 Control NO BSA PEG,PEG,control,none,,high,,2026-08-26,180,PEG,control,control,PEG_control
5.5 hrs/PXL_20260826_001008777.jpg,5.5,2026-08-26 00:10:08.777,14,62.175,0.4 Control NO BSA COOH,COOH,control,none,,high,,2026-08-26,181,COOH,control,control,COOH_control
6 hrs/PXL_20260823_211237541.jpg,6.0,2026-08-23 21:12:37.541,1,,0.4 NO BSA PEG L1,PEG,L1,present,large,high,,2026-08-23,182,PEG,L1,large,PEG_L1
6 hrs/PXL_20260823_211320215.jpg,6.0,2026-08-23 21:13:20.215,2,42.674,0.4 NO BSA PEG L2,PEG,L2,present,large,high,,2026-08-23,183,PEG,L2,large,PEG_L2
6 hrs/PXL_20260823_211401085.jpg,6.0,2026-08-23 21:14:01.085,3,40.87,0.4 NO BSA PEG S1,PEG,S1,present,small,high,,2026-08-23,184,PEG,S1,small,PEG_S1
6 hrs/PXL_20260823_211437731.jpg,6.0,2026-08-23 21:14:37.731,4,36.646,0.4 NO BSA PEG S2,PEG,S2,present,small,high,,2026-08-23,185,PEG,S2,small,PEG_S2
6 hrs/PXL_20260823_211516087.jpg,6.0,2026-08-23 21:15:16.087,5,38.356,0.4 NO BSA COOH L1,COOH,L1,present,large,high,,2026-08-23,186,COOH,L1,large,COOH_L1
6 hrs/PXL_20260823_211552028.jpg,6.0,2026-08-23 21:15:52.028,6,35.941,0.4 NO BSA COOH L2,COOH,L2,present,large,high,,2026-08-23,187,COOH,L2,large,COOH_L2
6 hrs/PXL_20260823_211633548.jpg,6.0,2026-08-23 21:16:33.548,7,41.52,0.4 NO BSA COOH S1,COOH,S1,present,small,high,duplicate close-up photo,2026-08-23,188,COOH,S1,small,COOH_S1
6 hrs/PXL_20260823_211722633.jpg,6.0,2026-08-23 21:17:22.633,8,49.085,0.4 NO BSA COOH S2,COOH,S2,present,small,high,,2026-08-23,189,COOH,S2,small,COOH_S2
6 hrs/PXL_20260826_003845200.jpg,6.0,2026-08-26 00:38:45.200,9,184882.567,0.4 NO BSA PEG L3,PEG,L3,present,large,high,,2026-08-26,190,PEG,L3,large,PEG_L3
6 hrs/PXL_20260826_003946096.jpg,6.0,2026-08-26 00:39:46.096,10,60.896,0.4 NO BSA COOH L3,COOH,L3,present,large,high,,2026-08-26,191,COOH,L3,large,COOH_L3
6 hrs/PXL_20260826_004044034.jpg,6.0,2026-08-26 00:40:44.034,11,57.938,0.4 NO BSA COOH S3,COOH,S3,present,small,high,,2026-08-26,192,COOH,S3,small,COOH_S3
6 hrs/PXL_20260826_004237890.jpg,6.0,2026-08-26 00:42:37.890,12,113.856,0.4 NO BSA PEG S3,PEG,S3,present,small,high,,2026-08-26,193,PEG,S3,small,PEG_S3
6 hrs/PXL_20260826_004432729.jpg,6.0,2026-08-26 00:44:32.729,13,114.839,0.4 Control NO BSA COOH,COOH,control,none,,high,,2026-08-26,194,COOH,control,control,COOH_control
6 hrs/PXL_20260826_004600641.jpg,6.0,2026-08-26 00:46:00.641,14,87.912,0.4 Control NO BSA PEG,PEG,control,none,,high,,2026-08-26,195,PEG,control,control,PEG_control
