path,geometry,timepoint_hr,capture_time,shot_order,gap_s,v_sticker,v_coating,v_bsa,v_control,v_ctrl_vertical,v_tally,v_magnet,v_conf,v_notes,coating,bsa,control,cond
0.6 CENTER/3 hrs/PXL_20260826_182159108.jpg,0.6 CENTER,3.0,2026-08-26 18:21:59.108,16,26.307,COOH 0.6 CTRL,COOH,False,True,False,,none,high,,COOH,non-BSA,True,COOH_non-BSA
0.6 CENTER/3.5 hrs/PXL_20260826_183920827.jpg,0.6 CENTER,3.5,2026-08-26 18:39:20.827,1,,PEG 0.6 BSA,PEG,True,False,,1.0,present,high,,PEG,BSA,False,PEG_BSA
0.6 CENTER/3.5 hrs/PXL_20260826_183950969.jpg,0.6 CENTER,3.5,2026-08-26 18:39:50.969,2,30.142,PEG 0.6 BSA,PEG,True,False,,3.0,present,high,,PEG,BSA,False,PEG_BSA
0.6 CENTER/3.5 hrs/PXL_20260826_184006708.jpg,0.6 CENTER,3.5,2026-08-26 18:40:06.708,3,15.739,PEG 0.6 BSA,PEG,True,False,,2.0,present,low,marks bold/doubled; read as 2 by elimination within trio 0112(=1)/0113(=3),PEG,BSA,False,PEG_BSA
0.6 CENTER/3.5 hrs/PXL_20260826_184026617.jpg,0.6 CENTER,3.5,2026-08-26 18:40:26.617,4,19.909,COOH 0.6 BSA,COOH,True,False,,1.0,present,high,,COOH,BSA,False,COOH_BSA
0.6 CENTER/3.5 hrs/PXL_20260826_184052578.jpg,0.6 CENTER,3.5,2026-08-26 18:40:52.578,5,25.961,COOH 0.6 BSA,COOH,True,False,,2.0,present,low,dotted/doubled marks,COOH,BSA,False,COOH_BSA
0.6 CENTER/3.5 hrs/PXL_20260826_184114875.jpg,0.6 CENTER,3.5,2026-08-26 18:41:14.875,6,22.297,COOH 0.6 BSA,COOH,True,False,,3.0,present,high,,COOH,BSA,False,COOH_BSA
0.6 CENTER/3.5 hrs/PXL_20260826_184153179.jpg,0.6 CENTER,3.5,2026-08-26 18:41:53.179,7,38.304,PEG 0.6,PEG,False,False,,1.0,present,high,,PEG,non-BSA,False,PEG_non-BSA
0.6 CENTER/3.5 hrs/PXL_20260826_184217135.jpg,0.6 CENTER,3.5,2026-08-26 18:42:17.135,8,23.956,PEG 0.6,PEG,False,False,,2.0,present,low,marks doubled/thick,PEG,non-BSA,False,PEG_non-BSA
0.6 CENTER/3.5 hrs/PXL_20260826_184248346.jpg,0.6 CENTER,3.5,2026-08-26 18:42:48.346,9,31.211,PEG 0.6,PEG,False,False,,3.0,present,high,,PEG,non-BSA,False,PEG_non-BSA
0.6 CENTER/3.5 hrs/PXL_20260826_184319926.jpg,0.6 CENTER,3.5,2026-08-26 18:43:19.926,10,31.58,COOH 0.6,COOH,False,False,,1.0,present,high,,COOH,non-BSA,False,COOH_non-BSA
0.6 CENTER/3.5 hrs/PXL_20260826_184349008.jpg,0.6 CENTER,3.5,2026-08-26 18:43:49.008,11,29.082,COOH 0.6,COOH,False,False,,2.0,present,low,hatched marks; read as 2 by elimination within trio 0121(=1)/0123(=3),COOH,non-BSA,False,COOH_non-BSA
0.6 CENTER/3.5 hrs/PXL_20260826_184415416.jpg,0.6 CENTER,3.5,2026-08-26 18:44:15.416,12,26.408,COOH 0.6,COOH,False,False,,3.0,present,high,,COOH,non-BSA,False,COOH_non-BSA
0.6 CENTER/3.5 hrs/PXL_20260826_184645047.jpg,0.6 CENTER,3.5,2026-08-26 18:46:45.047,13,149.631,PEG 0.6 BSA CTRL,PEG,True,True,True,,none,high,,PEG,BSA,True,PEG_BSA
0.6 CENTER/3.5 hrs/PXL_20260826_184711323.jpg,0.6 CENTER,3.5,2026-08-26 18:47:11.323,14,26.276,COOH 0.6 BSA CTRL,COOH,True,True,True,,none,high,,COOH,BSA,True,COOH_BSA
0.6 CENTER/3.5 hrs/PXL_20260826_184736725.jpg,0.6 CENTER,3.5,2026-08-26 18:47:36.725,15,25.402,PEG 0.6 CTRL,PEG,False,True,False,,none,high,,PEG,non-BSA,True,PEG_non-BSA
0.6 CENTER/3.5 hrs/PXL_20260826_184753091.jpg,0.6 CENTER,3.5,2026-08-26 18:47:53.091,16,16.366,COOH 0.6 CTRL,COOH,False,True,False,,none,high,,COOH,non-BSA,True,COOH_non-BSA
0.6 CENTER/4 hrs/PXL_20260826_190958574.jpg,0.6 CENTER,4.0,2026-08-26 19:09:58.574,1,,PEG 0.6 BSA,PEG,True,False,,1.0,present,high,,PEG,BSA,False,PEG_BSA
0.6 CENTER/4 hrs/PXL_20260826_191029940.jpg,0.6 CENTER,4.0,2026-08-26 19:10:29.940,2,31.366,PEG 0.6 BSA,PEG,True,False,,2.0,present,low,marks appeared dense/wide; read as 2 by elimination within trio 0128(=1)/0130(=3),PEG,BSA,False,PEG_BSA
0.6 CENTER/4 hrs/PXL_20260826_191437366.jpg,0.6 CENTER,4.0,2026-08-26 19:14:37.366,3,247.426,PEG 0.6 BSA,PEG,True,False,,3.0,present,high,,PEG,BSA,False,PEG_BSA
0.6 CENTER/4 hrs/PXL_20260826_191500022.jpg,0.6 CENTER,4.0,2026-08-26 19:15:00.022,4,22.656,COOH 0.6 BSA,COOH,True,False,,1.0,present,high,,COOH,BSA,False,COOH_BSA
0.6 CENTER/4 hrs/PXL_20260826_191526286.jpg,0.6 CENTER,4.0,2026-08-26 19:15:26.286,5,26.264,COOH 0.6 BSA,COOH,True,False,,2.0,present,low,doubled marks,COOH,BSA,False,COOH_BSA
0.6 CENTER/4 hrs/PXL_20260826_191558289.jpg,0.6 CENTER,4.0,2026-08-26 19:15:58.289,6,32.003,COOH 0.6 BSA,COOH,True,False,,3.0,present,high,,COOH,BSA,False,COOH_BSA
0.6 CENTER/4 hrs/PXL_20260826_191644204.jpg,0.6 CENTER,4.0,2026-08-26 19:16:44.204,7,45.915,PEG 0.6,PEG,False,False,,1.0,present,high,,PEG,non-BSA,False,PEG_non-BSA
0.6 CENTER/4 hrs/PXL_20260826_191720478.jpg,0.6 CENTER,4.0,2026-08-26 19:17:20.478,8,36.274,PEG 0.6,PEG,False,False,,2.0,present,low,doubled marks,PEG,non-BSA,False,PEG_non-BSA
0.6 CENTER/4 hrs/PXL_20260826_191747243.jpg,0.6 CENTER,4.0,2026-08-26 19:17:47.243,9,26.765,PEG 0.6,PEG,False,False,,3.0,present,high,,PEG,non-BSA,False,PEG_non-BSA
0.6 CENTER/4 hrs/PXL_20260826_191817126.jpg,0.6 CENTER,4.0,2026-08-26 19:18:17.126,10,29.883,COOH 0.6,COOH,False,False,,3.0,present,high,magnet not obvious in tally crop; confirmed present via frame photo,COOH,non-BSA,False,COOH_non-BSA
0.6 CENTER/4 hrs/PXL_20260826_191841531.jpg,0.6 CENTER,4.0,2026-08-26 19:18:41.531,11,24.405,COOH 0.6,COOH,False,False,,3.0,present,high,,COOH,non-BSA,False,COOH_non-BSA
0.6 CENTER/4 hrs/PXL_20260826_191910010.jpg,0.6 CENTER,4.0,2026-08-26 19:19:10.010,12,28.479,COOH 0.6,COOH,False,False,,3.0,present,high,"trio 0137-0139 all read tally=3, breaking the expected 1/2/3 repeat pattern seen elsewhere - recommend manual review",COOH,non-BSA,False,COOH_non-BSA
0.6 CENTER/4 hrs/PXL_20260826_192214980.jpg,0.6 CENTER,4.0,2026-08-26 19:22:14.980,13,184.97,PEG 0.6 BSA CTRL,PEG,True,True,True,,none,high,,PEG,BSA,True,PEG_BSA
0.6 CENTER/4 hrs/PXL_20260826_192300653.jpg,0.6 CENTER,4.0,2026-08-26 19:23:00.653,14,45.673,COOH 0.6 CTRL,COOH,False,True,False,,none,high,,COOH,non-BSA,True,COOH_non-BSA
0.6 CENTER/4 hrs/PXL_20260826_192344070.jpg,0.6 CENTER,4.0,2026-08-26 19:23:44.070,15,43.417,COOH 0.6 BSA CTRL,COOH,True,True,True,,none,low,BSA word very faint on sticker; read as present based on faint strokes and vertical CTRL matching the BSA-control pattern,COOH,BSA,True,COOH_BSA
0.6 CENTER/4 hrs/PXL_20260826_192453202.jpg,0.6 CENTER,4.0,2026-08-26 19:24:53.202,16,69.132,PEG 0.6 CTRL,PEG,False,True,False,,none,high,,PEG,non-BSA,True,PEG_non-BSA
0.6 CENTER/4.5 hrs/PXL_20260826_193939945.jpg,0.6 CENTER,4.5,2026-08-26 19:39:39.945,1,,PEG 0.6 BSA,PEG,True,False,,1.0,present,high,,PEG,BSA,False,PEG_BSA
0.6 CENTER/4.5 hrs/PXL_20260826_194012857.jpg,0.6 CENTER,4.5,2026-08-26 19:40:12.857,2,32.912,PEG 0.6 BSA,PEG,True,False,,2.0,present,high,,PEG,BSA,False,PEG_BSA
0.6 CENTER/4.5 hrs/PXL_20260826_194049195.jpg,0.6 CENTER,4.5,2026-08-26 19:40:49.195,3,36.338,PEG 0.6 BSA,PEG,True,False,,3.0,present,high,,PEG,BSA,False,PEG_BSA
0.6 CENTER/4.5 hrs/PXL_20260826_194121243.jpg,0.6 CENTER,4.5,2026-08-26 19:41:21.243,4,32.048,COOH 0.6 BSA,COOH,True,False,,1.0,present,low,"single tally stroke on strap is smudged/scratchy, tangled with loose fiber strands, making exact stroke count harder to confirm",COOH,BSA,False,COOH_BSA
0.6 CENTER/4.5 hrs/PXL_20260826_194231859.jpg,0.6 CENTER,4.5,2026-08-26 19:42:31.859,5,70.616,COOH 0.6 BSA,COOH,True,False,,2.0,present,high,,COOH,BSA,False,COOH_BSA
0.6 CENTER/4.5 hrs/PXL_20260826_194301654.jpg,0.6 CENTER,4.5,2026-08-26 19:43:01.654,6,29.795,COOH 0.6 BSA,COOH,True,False,,3.0,present,low,"sticker text very blurry, coating/BSA read from faint outlines",COOH,BSA,False,COOH_BSA
0.6 CENTER/4.5 hrs/PXL_20260826_194608027.jpg,0.6 CENTER,4.5,2026-08-26 19:46:08.027,7,186.373,PEG 0.6,PEG,False,False,,1.0,present,high,,PEG,non-BSA,False,PEG_non-BSA
0.6 CENTER/4.5 hrs/PXL_20260826_194658720.jpg,0.6 CENTER,4.5,2026-08-26 19:46:58.720,8,50.693,PEG 0.6,PEG,False,False,,2.0,present,high,,PEG,non-BSA,False,PEG_non-BSA
0.6 CENTER/4.5 hrs/PXL_20260826_194732570.jpg,0.6 CENTER,4.5,2026-08-26 19:47:32.570,9,33.85,PEG 0.6,PEG,False,False,,3.0,present,high,,PEG,non-BSA,False,PEG_non-BSA
0.6 CENTER/4.5 hrs/PXL_20260826_194756404.jpg,0.6 CENTER,4.5,2026-08-26 19:47:56.404,10,23.834,COOH 0.6,COOH,False,False,,1.0,present,high,,COOH,non-BSA,False,COOH_non-BSA
0.6 CENTER/4.5 hrs/PXL_20260826_194828954.jpg,0.6 CENTER,4.5,2026-08-26 19:48:28.954,11,32.55,COOH 0.6,COOH,False,False,,2.0,present,high,,COOH,non-BSA,False,COOH_non-BSA
0.6 CENTER/4.5 hrs/PXL_20260826_194921273.jpg,0.6 CENTER,4.5,2026-08-26 19:49:21.273,12,52.319,COOH 0.6,COOH,False,False,,3.0,present,high,,COOH,non-BSA,False,COOH_non-BSA
0.6 CENTER/4.5 hrs/PXL_20260826_195241157.jpg,0.6 CENTER,4.5,2026-08-26 19:52:41.157,13,199.884,PEG 0.6 BSA CTRL,PEG,True,True,True,,none,high,second CTRL photo for the PEG+BSA control condition (duplicate of 0140's condition),PEG,BSA,True,PEG_BSA
0.6 CENTER/4.5 hrs/PXL_20260826_195305380.jpg,0.6 CENTER,4.5,2026-08-26 19:53:05.380,14,24.223,COOH 0.6 CTRL,COOH,False,True,False,,none,high,second CTRL photo for the COOH/non-BSA control condition (duplicate of 0141's condition),COOH,non-BSA,True,COOH_non-BSA
0.6 CENTER/4.5 hrs/PXL_20260826_195346224.jpg,0.6 CENTER,4.5,2026-08-26 19:53:46.224,15,40.844,COOH 0.6 BSA CTRL,COOH,True,True,True,,none,low,BSA word very faint; second CTRL photo for COOH+BSA control condition (duplicate of 0142's condition),COOH,BSA,True,COOH_BSA
0.6 CENTER/4.5 hrs/PXL_20260826_195418410.jpg,0.6 CENTER,4.5,2026-08-26 19:54:18.410,16,32.186,PEG 0.6 CTRL,PEG,False,True,False,,none,high,second CTRL photo for the PEG/non-BSA control condition (duplicate of 0143's condition),PEG,non-BSA,True,PEG_non-BSA
0.6 CENTER/5 hrs/PXL_20260826_201335033.jpg,0.6 CENTER,5.0,2026-08-26 20:13:35.033,1,,PEG 0.6 BSA,PEG,True,False,,1.0,present,high,,PEG,BSA,False,PEG_BSA
0.6 CENTER/5 hrs/PXL_20260826_201431200.jpg,0.6 CENTER,5.0,2026-08-26 20:14:31.200,2,56.167,PEG 0.6 BSA,PEG,True,False,,2.0,present,high,,PEG,BSA,False,PEG_BSA
0.6 CENTER/5 hrs/PXL_20260826_201512822.jpg,0.6 CENTER,5.0,2026-08-26 20:15:12.822,3,41.622,PEG 0.6 BSA,PEG,True,False,,3.0,present,high,,PEG,BSA,False,PEG_BSA
0.6 CENTER/5 hrs/PXL_20260826_201606139.jpg,0.6 CENTER,5.0,2026-08-26 20:16:06.139,4,53.317,COOH 0.6 BSA,COOH,True,False,,1.0,present,low,BSA word faint,COOH,BSA,False,COOH_BSA
0.6 CENTER/5 hrs/PXL_20260826_201641574.jpg,0.6 CENTER,5.0,2026-08-26 20:16:41.574,5,35.435,COOH 0.6 BSA,COOH,True,False,,2.0,present,high,,COOH,BSA,False,COOH_BSA
0.6 CENTER/5 hrs/PXL_20260826_201725101.jpg,0.6 CENTER,5.0,2026-08-26 20:17:25.101,6,43.527,COOH 0.6 BSA,COOH,True,False,,3.0,present,low,bottom of sticker (BSA line) partly out of frame in the hi-contrast crop; coating/BSA inferred from sequence with 0163/0164,COOH,BSA,False,COOH_BSA
0.6 CENTER/5 hrs/PXL_20260826_201810157.jpg,0.6 CENTER,5.0,2026-08-26 20:18:10.157,7,45.056,PEG 0.6,PEG,False,False,,1.0,present,high,,PEG,non-BSA,False,PEG_non-BSA
0.6 CENTER/5 hrs/PXL_20260826_201853317.jpg,0.6 CENTER,5.0,2026-08-26 20:18:53.317,8,43.16,PEG 0.6,PEG,False,False,,2.0,present,high,,PEG,non-BSA,False,PEG_non-BSA
0.6 CENTER/5 hrs/PXL_20260826_201930479.jpg,0.6 CENTER,5.0,2026-08-26 20:19:30.479,9,37.162,PEG 0.6,PEG,False,False,,3.0,present,high,,PEG,non-BSA,False,PEG_non-BSA
0.6 CENTER/5 hrs/PXL_20260826_202002415.jpg,0.6 CENTER,5.0,2026-08-26 20:20:02.415,10,31.936,COOH 0.6,COOH,False,False,,1.0,present,high,,COOH,non-BSA,False,COOH_non-BSA
0.6 CENTER/5 hrs/PXL_20260826_202035829.jpg,0.6 CENTER,5.0,2026-08-26 20:20:35.829,11,33.414,COOH 0.6,COOH,False,False,,2.0,present,high,,COOH,non-BSA,False,COOH_non-BSA
0.6 CENTER/5 hrs/PXL_20260826_202112553.jpg,0.6 CENTER,5.0,2026-08-26 20:21:12.553,12,36.724,COOH 0.6,COOH,False,False,,3.0,present,high,,COOH,non-BSA,False,COOH_non-BSA
0.6 CENTER/5 hrs/PXL_20260826_202350445.jpg,0.6 CENTER,5.0,2026-08-26 20:23:50.445,13,157.892,PEG 0.6 BSA CTRL,PEG,True,True,True,,none,high,third CTRL photo for the PEG+BSA control condition (duplicate of 0140/0156),PEG,BSA,True,PEG_BSA
0.6 CENTER/5 hrs/PXL_20260826_202459405.jpg,0.6 CENTER,5.0,2026-08-26 20:24:59.405,14,68.96,COOH 0.6 BSA CTRL,COOH,True,True,True,,none,low,BSA word very faint; third CTRL photo for COOH+BSA control condition (duplicate of 0142/0158),COOH,BSA,True,COOH_BSA
0.6 CENTER/5 hrs/PXL_20260826_202517510.jpg,0.6 CENTER,5.0,2026-08-26 20:25:17.510,15,18.105,PEG 0.6 CTRL,PEG,False,True,False,,none,high,third CTRL photo for the PEG/non-BSA control condition (duplicate of 0143/0159); COOH/non-BSA CTRL for this third block not present in this manifest range,PEG,non-BSA,True,PEG_non-BSA
0.6 CENTER/5 hrs/PXL_20260826_202536997.jpg,0.6 CENTER,5.0,2026-08-26 20:25:36.997,16,19.487,COOH 0.6 CTRL,COOH,False,True,False,,none,high,,COOH,non-BSA,True,COOH_non-BSA
0.6 CENTER/5.5 hrs/PXL_20260826_204358999.jpg,0.6 CENTER,5.5,2026-08-26 20:43:58.999,1,,PEG 0.6 BSA,PEG,True,False,,1.0,present,high,,PEG,BSA,False,PEG_BSA
0.6 CENTER/5.5 hrs/PXL_20260826_204510170.jpg,0.6 CENTER,5.5,2026-08-26 20:45:10.170,2,71.171,PEG 0.6 BSA,PEG,True,False,,3.0,present,high,,PEG,BSA,False,PEG_BSA
0.6 CENTER/5.5 hrs/PXL_20260826_204610506.jpg,0.6 CENTER,5.5,2026-08-26 20:46:10.506,3,60.336,PEG 0.6 BSA,PEG,True,False,,3.0,present,low,"strap strokes thick/overlapping ('W' shaped smear); count of 3 same as 0177 for same condition, verify manually",PEG,BSA,False,PEG_BSA
0.6 CENTER/5.5 hrs/PXL_20260826_204652802.jpg,0.6 CENTER,5.5,2026-08-26 20:46:52.802,4,42.296,COOH 0.6 BSA,COOH,True,False,,1.0,present,high,,COOH,BSA,False,COOH_BSA
0.6 CENTER/5.5 hrs/PXL_20260826_204737771.jpg,0.6 CENTER,5.5,2026-08-26 20:47:37.771,5,44.969,COOH 0.6 BSA,COOH,True,False,,2.0,present,high,,COOH,BSA,False,COOH_BSA
0.6 CENTER/5.5 hrs/PXL_20260826_204809585.jpg,0.6 CENTER,5.5,2026-08-26 20:48:09.585,6,31.814,COOH 0.6 BSA,COOH,True,False,,3.0,present,low,"sticker very blurry even in sticker_hi, coating read inferred from shape plus being part of a COOH/BSA repeat-1/2/3 run (0179-0181)",COOH,BSA,False,COOH_BSA
0.6 CENTER/5.5 hrs/PXL_20260826_204836689.jpg,0.6 CENTER,5.5,2026-08-26 20:48:36.689,7,27.104,PEG 0.6,PEG,False,False,,1.0,present,high,,PEG,non-BSA,False,PEG_non-BSA
0.6 CENTER/5.5 hrs/PXL_20260826_204900330.jpg,0.6 CENTER,5.5,2026-08-26 20:49:00.330,8,23.641,PEG 0.6,PEG,False,False,,2.0,present,high,,PEG,non-BSA,False,PEG_non-BSA
0.6 CENTER/5.5 hrs/PXL_20260826_204928024.jpg,0.6 CENTER,5.5,2026-08-26 20:49:28.024,9,27.694,PEG 0.6,PEG,False,False,,3.0,present,high,,PEG,non-BSA,False,PEG_non-BSA
0.6 CENTER/5.5 hrs/PXL_20260826_204949874.jpg,0.6 CENTER,5.5,2026-08-26 20:49:49.874,10,21.85,COOH 0.6,COOH,False,False,,1.0,present,high,,COOH,non-BSA,False,COOH_non-BSA
0.6 CENTER/5.5 hrs/PXL_20260826_205012206.jpg,0.6 CENTER,5.5,2026-08-26 20:50:12.206,11,22.332,COOH 0.6,COOH,False,False,,3.0,present,low,"tally/sticker nearly identical to 0187 (same wire/magnet arrangement) - possible duplicate photo of same sample, verify",COOH,non-BSA,False,COOH_non-BSA
0.6 CENTER/5.5 hrs/PXL_20260826_205042597.jpg,0.6 CENTER,5.5,2026-08-26 20:50:42.597,12,30.391,COOH 0.6,COOH,False,False,,3.0,present,low,"tally/sticker nearly identical to 0186 (same wire/magnet arrangement) - possible duplicate photo of same sample, verify",COOH,non-BSA,False,COOH_non-BSA
0.6 CENTER/5.5 hrs/PXL_20260826_205244450.jpg,0.6 CENTER,5.5,2026-08-26 20:52:44.450,13,121.853,PEG 0.6 BSA CTRL,PEG,True,True,True,,none,high,one of the 4 controls; CTRL written vertically as expected for BSA control,PEG,BSA,True,PEG_BSA
0.6 CENTER/5.5 hrs/PXL_20260826_205301892.jpg,0.6 CENTER,5.5,2026-08-26 20:53:01.892,14,17.442,COOH 0.6 CTRL,COOH,False,True,False,,none,high,sticker/tally near-identical to 0175 - likely duplicate photo of same COOH non-BSA control,COOH,non-BSA,True,COOH_non-BSA
0.6 CENTER/5.5 hrs/PXL_20260826_205322669.jpg,0.6 CENTER,5.5,2026-08-26 20:53:22.669,15,20.777,PEG 0.6 CTRL,PEG,False,True,False,,none,high,,PEG,non-BSA,True,PEG_non-BSA
0.6 CENTER/5.5 hrs/PXL_20260826_205348944.jpg,0.6 CENTER,5.5,2026-08-26 20:53:48.944,16,26.275,COOH 0.6 BSA CTRL,COOH,True,True,True,,none,low,sticker blurry (0.6 digit and BSA faint) but vertical CTRL to the right of main text is legible; completes the 4th control combo (COOH+BSA),COOH,BSA,True,COOH_BSA
0.6 CENTER/6 hrs/PXL_20260826_211356855.jpg,0.6 CENTER,6.0,2026-08-26 21:13:56.855,1,,PEG 0.6 BSA,PEG,True,False,,1.0,present,high,,PEG,BSA,False,PEG_BSA
0.6 CENTER/6 hrs/PXL_20260826_211427203.jpg,0.6 CENTER,6.0,2026-08-26 21:14:27.203,2,30.348,PEG 0.6 BSA,PEG,True,False,,3.0,present,high,,PEG,BSA,False,PEG_BSA
0.6 CENTER/6 hrs/PXL_20260826_211447863.jpg,0.6 CENTER,6.0,2026-08-26 21:14:47.863,3,20.66,PEG 0.6 BSA,PEG,True,False,,2.0,present,high,,PEG,BSA,False,PEG_BSA
0.6 CENTER/6 hrs/PXL_20260826_211517646.jpg,0.6 CENTER,6.0,2026-08-26 21:15:17.646,4,29.783,COOH 0.6 BSA,COOH,True,False,,1.0,present,high,,COOH,BSA,False,COOH_BSA
0.6 CENTER/6 hrs/PXL_20260826_211542690.jpg,0.6 CENTER,6.0,2026-08-26 21:15:42.690,5,25.044,COOH 0.6 BSA,COOH,True,False,,2.0,present,high,,COOH,BSA,False,COOH_BSA
0.6 CENTER/6 hrs/PXL_20260826_211611789.jpg,0.6 CENTER,6.0,2026-08-26 21:16:11.789,6,29.099,COOH 0.6 BSA,COOH,True,False,,3.0,present,low,"sticker very blurry, read by analogy to adjacent COOH/BSA repeat set (0195-0197)",COOH,BSA,False,COOH_BSA
0.6 CENTER/6 hrs/PXL_20260826_211642406.jpg,0.6 CENTER,6.0,2026-08-26 21:16:42.406,7,30.617,PEG 0.6,PEG,False,False,,1.0,present,high,,PEG,non-BSA,False,PEG_non-BSA
0.6 CENTER/6 hrs/PXL_20260826_211702516.jpg,0.6 CENTER,6.0,2026-08-26 21:17:02.516,8,20.11,PEG 0.6,PEG,False,False,,2.0,present,high,,PEG,non-BSA,False,PEG_non-BSA
0.6 CENTER/6 hrs/PXL_20260826_211722705.jpg,0.6 CENTER,6.0,2026-08-26 21:17:22.705,9,20.189,PEG 0.6,PEG,False,False,,3.0,present,high,,PEG,non-BSA,False,PEG_non-BSA
0.6 CENTER/6 hrs/PXL_20260826_211741154.jpg,0.6 CENTER,6.0,2026-08-26 21:17:41.154,10,18.449,COOH 0.6,COOH,False,False,,1.0,present,high,,COOH,non-BSA,False,COOH_non-BSA
0.6 CENTER/6 hrs/PXL_20260826_211807434.jpg,0.6 CENTER,6.0,2026-08-26 21:18:07.434,11,26.28,COOH 0.6,COOH,False,False,,2.0,present,high,,COOH,non-BSA,False,COOH_non-BSA
0.6 CENTER/6 hrs/PXL_20260826_211834760.jpg,0.6 CENTER,6.0,2026-08-26 21:18:34.760,12,27.326,COOH 0.6,COOH,False,False,,3.0,present,high,,COOH,non-BSA,False,COOH_non-BSA
0.6 CENTER/6 hrs/PXL_20260826_212115678.jpg,0.6 CENTER,6.0,2026-08-26 21:21:15.678,13,160.918,PEG 0.6 BSA CTRL,PEG,True,True,True,,none,high,duplicate of 0188 (same PEG+BSA control),PEG,BSA,True,PEG_BSA
0.6 CENTER/6 hrs/PXL_20260826_212145360.jpg,0.6 CENTER,6.0,2026-08-26 21:21:45.360,14,29.682,COOH 0.6 CTRL,COOH,False,True,False,,none,high,duplicate of 0175/0189 (same COOH non-BSA control),COOH,non-BSA,True,COOH_non-BSA
0.6 CENTER/6 hrs/PXL_20260826_212213974.jpg,0.6 CENTER,6.0,2026-08-26 21:22:13.974,15,28.614,PEG 0.6 CTRL,PEG,False,True,False,,none,high,duplicate of 0190 (same PEG non-BSA control),PEG,non-BSA,True,PEG_non-BSA
0.6 CENTER/6 hrs/PXL_20260826_212258510.jpg,0.6 CENTER,6.0,2026-08-26 21:22:58.510,16,44.536,COOH 0.6 BSA CTRL,COOH,True,True,True,,none,low,"sticker blurry, duplicate of 0191 (same COOH+BSA control)",COOH,BSA,True,COOH_BSA
